,ic50,gr
0,-2.2279828455642576,0.0872777368271627
1,1.6915426791336248,0.07985922828730303
2,-0.01397772348117606,0.09028212941226556
3,2.07290177865642,0.113213069835272
4,0.289085714247282,0.10033120221320457
5,2.5596419991403843,0.06886068683503578
6,-0.034859861367131845,0.07671369804858134
7,2.74225335666608,0.07747740231909898
8,-0.1283315493251282,0.09747906883412173
9,2.3837501082978068,0.08252831828963693
10,-0.8372326127871542,0.08079091271599423
11,2.0917173441080994,0.08121588398253661
12,0.9900279470093564,0.08752331889278714
13,0.6065804637285234,0.072185213219539
14,0.6179633324363734,0.06468702969420353
15,2.6955844455146654,0.06815518334342985
